區域,季別,成交日,編號,路段,建案名稱,棟及號,門牌,樓層,坪數,總價萬,單價萬每坪
光埔重劃區,113S2,2024-02-17,RPQOMLOJLHJGFAO58CB,埔頂一路,金弘天希,B1棟13F號,新竹市新竹市埔頂一路,十三層/15,68.2,3820,70.5
光埔重劃區,113S2,2024-02-25,RPSNMLOJLHJGFAO68CB,埔頂一路,金弘天希,B1棟10F號,新竹市新竹市埔頂一路,十層/15,71.3,3735,69.2
光埔重劃區,113S2,2024-02-25,RPTNMLOJLHJGFAO78CB,埔頂一路,金弘天希,B2棟10F號,新竹市新竹市埔頂一路,十層/15,68.4,3750,69.2
光埔重劃區,113S2,2024-03-10,RPPNMLPKLHJGFAO58CB,埔頂一路,金弘天希,A2棟6F號,新竹市新竹市埔頂一路,六層/15,60.4,3518,67.2
光埔重劃區,113S2,2024-03-22,RPPNMLTKMHJGFAO56DB,光復路二段,豐溢‧風藝,A2棟5號,新竹市新竹市光復路二段,五層/15,31.6,1568,49.6
光埔重劃區,113S2,2024-03-25,RPRNMLSKMHJGFAO66DB,光復路二段,豐溢‧風藝,A5棟7號,新竹市新竹市光復路二段,七層/15,32.4,1688,52.1
光埔重劃區,113S2,2024-04-01,RPSNMLSKMHJGFAO76DB,光復路二段,豐溢‧風藝,A1棟11號,新竹市新竹市光復路二段,十一層/15,38.5,1780,51.5
光埔重劃區,113S2,2024-04-10,RPVNMLQKMHJGFAO76CB,埔頂一路,金弘天希,B1棟09F號,新竹市新竹市埔頂一路,九層/15,57.7,3510,69.4
光埔重劃區,113S2,2024-04-11,RPQNMLRKMHJGFAO98CB,埔頂路,A TEAM,E棟4號,新竹市新竹市埔頂路,四層/11,128.3,3650,
光埔重劃區,113S2,2024-04-11,RPRNMLRKMHJGFAO09CB,埔頂路,A TEAM,D棟4號,新竹市新竹市埔頂路,四層/11,128.1,3650,
光埔重劃區,113S2,2024-04-14,RPUNMLQKMHJGFAO66CB,埔頂一路,金弘天希,A2棟07F號,新竹市新竹市埔頂一路,七層/15,58.8,3533,67.9
光埔重劃區,113S2,2024-04-27,RPPNMLNJNHJGFAO48CB,埔頂一路,金弘天希,A2棟10F號,新竹市新竹市埔頂一路,十層/15,60.4,3600,68.9
光埔重劃區,113S2,2024-04-27,RPQNMLNJNHJGFAO58CB,埔頂一路,金弘天希,A2棟03F號,新竹市新竹市埔頂一路,三層/15,58.8,3478,66.9
光埔重劃區,113S2,2024-04-27,RPRNMLNJNHJGFAO68CB,埔頂一路,金弘天希,B1棟08F號,新竹市新竹市埔頂一路,八層/15,57.3,3515,69.1
光埔重劃區,113S2,2024-04-27,RPPNMLKKNHJGFAO38DB,光復路二段,豐溢‧風藝,A5棟5號,新竹市新竹市光復路二段,五層/15,32.4,1670,51.5
光埔重劃區,113S2,2024-04-29,RPTNMLRJNHJGFAO66CB,埔頂一路,金弘天希,A2棟08F號,新竹市新竹市埔頂一路,八層/15,70.0,3815,68.2
