區域,季別,成交日,路段,編號,社區棟別,門牌,型態,交易標的,樓層,格局,坪數,總價萬,單價萬每坪,屋齡,完工年月,車位,備註
光埔重劃區,114S1,2019-12-09,埔頂一路,RPVOMLTLJIJGFAO07DA,埔頂一路１９５號,新竹市新竹市埔頂一路１９５號二樓之７,華廈(10層含以下有電梯),房地(土地+建物),二層/六層,2房0廳2衛,15.8,515,32.6,-4.7,2024-08-23,,土地價金為2575000元整；建物價金為2575000元整。預售屋權利轉售，讓渡日期：109年12月25日，權利買賣契約
光埔重劃區,114S1,2019-12-10,埔頂一路,RPVPMLTLJIJGFAO17DA,埔頂一路１９５號,新竹市新竹市埔頂一路１９５號六樓之５,華廈(10層含以下有電梯),房地(土地+建物),六層/六層,2房0廳2衛,16.9,538,31.9,-4.7,2024-08-23,,預售屋、或土地及建物分件登記案件；
光埔重劃區,114S1,2019-12-11,埔頂一路,RPVNMLSLJIJGFAO86DA,埔頂一路１９５號,新竹市新竹市埔頂一路１９５號二樓之５,華廈(10層含以下有電梯),房地(土地+建物),二層/六層,2房0廳2衛,16.9,538,31.9,-4.7,2024-08-23,,預售屋、或土地及建物分件登記案件；
光埔重劃區,114S1,2019-12-12,埔頂一路,RPRPMLTLJIJGFAO76DA,埔頂一路１９５號,新竹市新竹市埔頂一路１９５號五樓之５,華廈(10層含以下有電梯),房地(土地+建物),五層/六層,2房0廳2衛,16.9,506,30.0,-4.7,2024-08-23,,預售屋、或土地及建物分件登記案件；
光埔重劃區,114S1,2019-12-17,埔頂一路,RPSONLRKKIJGFAO66DA,埔頂一路１９５號,新竹市新竹市埔頂一路１９５號,華廈(10層含以下有電梯),房地(土地+建物)+車位,一層，見其他登記事項/六層,0房0廳0衛,43.6,2150,59.8,-4.7,2024-08-23,升降平面,土地價金為10075000元；建物價金為10075000元整。預售屋權利轉售，讓渡日期：110年4月8日，權利買賣契約成
光埔重劃區,114S1,2019-12-19,埔頂一路,RPPOMLPJKIJGFAO58DA,埔頂一路１９５號,新竹市新竹市埔頂一路１９５號二樓之６,華廈(10層含以下有電梯),房地(土地+建物),二層/六層,2房0廳2衛,15.8,510,32.3,-4.7,2024-08-23,,土地價金為255萬元整；建物價金為255萬元整。預售屋權利轉售，讓渡日期：109年10月4日，權利買賣契約成交價格 55
光埔重劃區,114S1,2019-12-19,埔頂一路,RPQNNLRKKIJGFAO98DA,埔頂一路１９５號,新竹市新竹市埔頂一路１９５號六樓之６,華廈(10層含以下有電梯),房地(土地+建物)+車位,六層/六層,2房0廳2衛,25.7,655,32.8,-4.7,2024-08-23,坡道平面,預售屋、或土地及建物分件登記案件；
光埔重劃區,114S1,2019-12-23,埔頂一路,RPROMLSLJIJGFAO56DA,埔頂一路１９５號,新竹市新竹市埔頂一路１９５號三樓之５,華廈(10層含以下有電梯),房地(土地+建物),三層/六層,2房0廳2衛,16.9,510,30.2,-4.7,2024-08-23,,預售屋、或土地及建物分件登記案件；
光埔重劃區,114S1,2019-12-24,埔頂一路,RPRQMLTLJIJGFAO86DA,埔頂一路１９５號,新竹市新竹市埔頂一路１９５號三樓之６,華廈(10層含以下有電梯),房地(土地+建物),三層/六層,2房0廳2衛,15.8,510,32.3,-4.7,2024-08-23,,土地價金為255萬元整；建物價金為255萬元整。預售屋權利轉售，讓渡日期：111年12月23日，權利買賣契約成交價格 5
光埔重劃區,114S1,2019-12-31,埔頂一路,RPUOMLPJKIJGFAO09DA,埔頂一路１９５號,新竹市新竹市埔頂一路１９５號五樓之７,華廈(10層含以下有電梯),房地(土地+建物),五層/六層,2房0廳2衛,15.8,510,32.2,-4.7,2024-08-23,,土地價金為255萬元整；建物價金為255萬元整。預售屋權利轉售，讓渡日期：111年1月4日，權利買賣契約成交價格6900
光埔重劃區,114S1,2020-01-05,埔頂一路,RPQOMLSLJIJGFAO09DA,埔頂一路１９５號,新竹市新竹市埔頂一路１９５號二樓之２,華廈(10層含以下有電梯),房地(土地+建物),二層/六層,1房1廳1衛,10.7,298,27.9,-4.6,2024-08-23,,預售屋、或土地及建物分件登記案件；
光埔重劃區,114S2,2020-01-05,埔頂一路,RPTNMLOLKIJGFAO98DA,埔頂一路１９１號,新竹市新竹市埔頂一路１９１號,華廈(10層含以下有電梯),房地(土地+建物)+車位,一層，見其他登記事項/六層,0房0廳0衛,42.3,2250,65.3,-4.6,2024-08-23,升降平面,土地價金為10575000元；建物價金為10575000元整。預售屋權利轉售，讓渡日期：113年8月23日，權利買賣契約
光埔重劃區,114S1,2020-01-21,埔頂一路,RPOPMLTLJIJGFAO09DA,埔頂一路１９５號,新竹市新竹市埔頂一路１９５號四樓之７,華廈(10層含以下有電梯),房地(土地+建物),四層/六層,2房0廳2衛,15.8,515,32.6,-4.6,2024-08-23,,預售屋、或土地及建物分件登記案件；
光埔重劃區,114S1,2021-03-18,埔頂一路,RPSQMLTLJIJGFAO96DA,埔頂一路１９５號,新竹市新竹市埔頂一路１９５號四樓之５,華廈(10層含以下有電梯),房地(土地+建物)+車位,四層/六層,2房0廳2衛,26.8,645,30.2,-3.4,2024-08-23,坡道平面,土地價金為255萬元整；建物價金為255萬元整。預售屋權利轉售，讓渡日期：112年3月22日，權利買賣契約成交價格950
光埔重劃區,114S1,2021-04-29,東光路,RPPQMLSKKIJGFAO56DA,東光路９９號,新竹市新竹市東光路９９號十八樓,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,十八層/十八層,4房2廳2衛,101.2,3842,45.2,-3.6,2024-11-27,坡道平面,預售屋權利轉售，讓渡日期 :110年12月15日，由股東轉讓與公司，平轉無價差預售屋、或土地及建物分件登記案件；
光埔重劃區,114S1,2021-04-29,東光路,RPVRMLSKKIJGFAO27DA,東光路１０１號,新竹市新竹市東光路１０１號十八樓,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,十八層/十八層,4房2廳2衛,93.3,3973,45.2,-3.6,2024-11-27,坡道平面,管理組織:目前無將來會成立預售屋、或土地及建物分件登記案件；
光埔重劃區,114S1,2021-05-06,東光路,RPPPMLSKKIJGFAO09DA,東光路９９號,新竹市新竹市東光路９９號七樓,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,七層/十八層,4房2廳2衛,91.6,3526,43.6,-3.5,2024-11-27,坡道平面,管理組織:目前無將來會成立預售屋、或土地及建物分件登記案件；
